id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,cast,crew,video,critic_score
179387,Heavenly Touch,6.5,22,Released,2009-05-12,0,89,False,/9msuazXGWAyl7vhxVFU7e7Bb5Ik.jpg,0,,tt1433524,tl,Heavenly Touch,"Jonard is having trouble making ends meet. His mother is suffering from depression, and he and his sister are forced to quit school in order to take care of her. One day, Jonard meets up his friend Rodel, and Rodel introduces him to the world of massage parlors. Rodel teaches him massage, and brings him to Heavenly Touch, a syndicate-run massage parlor that mostly caters to homosexuals.",1195.968,/ory8WuAqznTE7lfopTSymHpop2t.jpg,Feel the love. Feel the passion. Feel the pleasure.,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 37558, 'logo_path': None, 'name': 'DMV Entertainment', 'origin_country': 'PH'}]","[{'iso_3166_1': 'PH', 'name': 'Philippines'}]","[{'english_name': 'Tagalog', 'iso_639_1': 'tl', 'name': ''}]",,,,False,
1118031,Apocalypse Z: The Beginning of the End,6.8,533,Released,2024-10-04,0,119,False,/2fxnTXr8NwyTFkunkimJkGkhqfy.jpg,0,https://nostromopictures.com/en/movies/coming-soon/apocalipsis-z-el-principio-del-fin,tt27599851,es,Apocalipsis Z: el principio del fin,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",1556.289,/wIGJnIFQlESkC2rLpfA8EDHqk4g.jpg,The beginning of the end has arrived.,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]","[{'id': 11068, 'logo_path': '/jOdUllzDZRFy0tPIFDEwpP4Mpv4.png', 'name': 'Nostromo Pictures', 'origin_country': 'ES'}]","[{'iso_3166_1': 'ES', 'name': 'Spain'}]","[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}, {'english_name': 'Galician', 'iso_639_1': 'gl', 'name': 'Galego'}, {'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}, {'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",,,,False,5.0
1124641,Classified,5.5,64,Released,2024-09-19,0,105,False,/1FBHAQnq7Bs3djBmaNkfdVbnCUE.jpg,0,https://www.sonypictures.com/movies/classified,tt27714840,en,Classified,"Operating alone in the field for more than 20 years, a CIA hitman uses the ""Help Wanted"" section of the newspapers to get his orders from the Agency. His long-lost daughter, now a UK MI6 analyst, tracks him down to deliver shocking news: his CIA boss has been dead for years and the division long since shut down. Together, they set out to discover whose orders he's been executing.",936.55,/3k8jv1kSAAc0rCfFGtWDDQL4dfK.jpg,,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 100121, 'logo_path': None, 'name': 'Film Bridge International', 'origin_country': 'US'}, {'id': 52352, 'logo_path': '/dHjAAPaqpjsikkKzmhZ4ofQaEkQ.png', 'name': 'Great Point Media', 'origin_country': 'GB'}, {'id': 159674, 'logo_path': '/2NAHsquI5QpycL3RnnxlESGgS7C.png', 'name': 'Filmology Finance', 'origin_country': 'AU'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,3.0
1100782,Smile 2,6.9,571,Released,2024-10-16,132416306,127,False,/iR79ciqhtaZ9BE7YFA1HpCHQgX4.jpg,28000000,https://www.smile.movie,tt29268110,en,Smile 2,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",2324.374,/ht8Uv9QPv9y7K0RvUyJIaXOZTfd.jpg,It's the last thing you'll see.,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]","[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 12292, 'logo_path': '/4GQTeqos2luopEtp3OgMQYusQ5c.png', 'name': 'Temple Hill Entertainment', 'origin_country': 'US'}, {'id': 231315, 'logo_path': None, 'name': 'Bad Feeling', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,8.0
1014505,OVERLORD: The Sacred Kingdom,7.8,17,Released,2024-09-20,0,134,False,/hkJhGayONXn96CqIRM9GhWKnlCf.jpg,0,,tt14603848,ja,劇場版「オーバーロード」聖王国編,"After twelve years of playing his favorite MMORPG game, Momonga logs in for the last time only to find himself transported into its world playing it indefinitely. Throughout his adventures, his avatar ascends to the title of Sorcerer King Ains Ooal Gown. Once prosperous but now on the brink of ruin, The Sacred Kingdom enjoyed years of peace after construction of an enormous wall protecting them from neighboring invasions. But, one day this comes to an end when the Demon Emperor Jaldabaoth arrives with an army of villainous demi-humans. Fearing invasion of their own lands, the neighboring territory of the Slane Theocracy is forced to beg their enemies at the Sorcerer Kingdom for help. Heeding the call, Momonga, now known as the Sorcerer King Ains Ooal Gown, rallies the Sorcerer Kingdom and its undead army to join the fight alongside the Sacred Kingdom and the Slane Theocracy in hopes to defeat the Demon Emperor.",710.573,/jEvytxNa5mfW7VAUmDWsZtIdATc.jpg,,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}]","[{'id': 2073, 'logo_path': '/tWxRSaKmRJNTcmtlXsmn5R4KOSU.png', 'name': 'KADOKAWA', 'origin_country': 'JP'}, {'id': 3464, 'logo_path': '/9k0nr75nwnNeT2MHerf1OXJN0hj.png', 'name': 'Madhouse', 'origin_country': 'JP'}, {'id': 156047, 'logo_path': '/bR1IGv2EUNaLGPIA3jRgbATUaX8.png', 'name': 'Bit grooove promotion', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]","[{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",,,,False,7.0
945961,Alien: Romulus,7.3,2387,Released,2024-08-13,350752564,119,False,/9SSEUrSqhljBMzRe4aBTh17rUaC.jpg,80000000,https://www.20thcenturystudios.com/movies/alien-romulus,tt18412256,en,Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",1074.176,/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg,"In space, no one can hear you.","[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 127928, 'logo_path': '/h0rjX5vjW5r8yEnUBStFarjcLT4.png', 'name': '20th Century Studios', 'origin_country': 'US'}, {'id': 221347, 'logo_path': '/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png', 'name': 'Scott Free Productions', 'origin_country': 'US'}, {'id': 401, 'logo_path': '/t7mM3DvQ9MwDT3YzMCBrkWpWiiz.png', 'name': 'Brandywine Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,8.0
972614,Knox Goes Away,6.7,229,Released,2024-03-15,0,114,False,/2NPhBHfzhEmXl8csQ2dKmoxfj5e.jpg,0,https://www.sabanfilms.com/films/knox-goes-away,tt20115766,en,Knox Goes Away,"A contract killer, after being diagnosed with a fast-moving form of dementia, is presented with the opportunity to redeem himself by saving the life of his estranged adult son. But to do so, he must race against the police closing in on him as well as the ticking clock of his own rapidly deteriorating mind.",924.713,/w39qKYjltCix18BwtoZ1e45usdb.jpg,,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]","[{'id': 3160, 'logo_path': '/AmGlFbccfbMu1RR3T0YWJtOBqA4.png', 'name': 'Brookstreet Pictures', 'origin_country': 'US'}, {'id': 20312, 'logo_path': '/iYmytRQt5jqlBIEaMQ0Cb6iAHh8.png', 'name': 'TPC', 'origin_country': 'US'}, {'id': 120766, 'logo_path': '/yHuuJYoFfYunIQ5hohT1hGnXTJq.png', 'name': 'Sugar23', 'origin_country': 'US'}, {'id': 7493, 'logo_path': '/fHitYiGUCkRafgt6VPYQlXWLkdp.png', 'name': 'FilmNation Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,
1034541,Terrifier 3,6.9,1071,Released,2024-10-09,86813848,125,False,/18TSJF1WLA4CkymvVUcKDBwUJ9F.jpg,2000000,https://terrifier3.com/,tt27911000,en,Terrifier 3,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",1968.338,/l1175hgL5DoXnqeZQCcU3eZIdhX.jpg,"You better not shout, you better not cry.","[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]","[{'id': 238902, 'logo_path': '/jLAg5fOlAw1Jl8Q7WoyKxh1H22y.png', 'name': 'Cineverse', 'origin_country': 'US'}, {'id': 15157, 'logo_path': '/yezzLb9RbKNtQUsyYySAqC9TQr7.png', 'name': 'Bloody Disgusting', 'origin_country': 'US'}, {'id': 84591, 'logo_path': None, 'name': 'Dark Age Cinema', 'origin_country': 'US'}, {'id': 114220, 'logo_path': '/b5n3DtfUySREkq4Xi962zMg69qq.png', 'name': 'Fuzz on the Lens Productions', 'origin_country': 'US'}, {'id': 213025, 'logo_path': '/bFz17QGqfF8wiQAH3T4kfzKC8dU.png', 'name': 'The Coven', 'origin_country': 'US'}, {'id': 121204, 'logo_path': '/vbtvY4IxgUZk713rkmoTO4MHIac.png', 'name': 'BondIt Media Capital', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,7.0
1051896,Arcadian,6.053,450,Released,2024-04-12,859453,92,False,/9s9o9RT9Yj6nDuRJjnJm78WFoFl.jpg,0,https://afdah2.com/,tt22939186,en,Arcadian,"In the near future, on a decimated Earth, Paul and his twin sons face terror at night when ferocious creatures awaken. When Paul is nearly killed, the boys come up with a plan for survival, using everything their father taught them to keep him alive.",748.296,/spWV1eRzlDxvai8LbxwAWR0Vst4.jpg,Family is stronger than fear.,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 76991, 'logo_path': '/pQjdvbv4y9yuIDSHDEHc9ijJKaS.png', 'name': 'Highland Film Group', 'origin_country': 'US'}, {'id': 159010, 'logo_path': None, 'name': 'Redline Entertainment', 'origin_country': 'US'}, {'id': 129815, 'logo_path': '/qbCmnVTQEuFqrVkbxn3i9P7Jrcw.png', 'name': 'Wild Atlantic Pictures', 'origin_country': 'IE'}, {'id': 125584, 'logo_path': '/56Lrmj9izLx7SEa0uPp0fVvssea.png', 'name': 'Aperture Media Partners', 'origin_country': 'US'}, {'id': 831, 'logo_path': '/vLENXiYTyITnMDrTKabUXhgTKX2.png', 'name': 'Saturn Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'IE', 'name': 'Ireland'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,7.0
1184918,The Wild Robot,8.5,3034,Released,2024-09-12,308583746,102,False,/v9acaWVVFdZT5yAU7J2QjwfhXyD.jpg,78000000,https://www.thewildrobotmovie.com,tt29623480,en,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2227.614,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,Discover your true nature.,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]","[{'id': 521, 'logo_path': '/3BPX5VGBov8SDqTV7wC1L1xShAS.png', 'name': 'DreamWorks Animation', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,7.0
1241982,Moana 2,7.6,9,Released,2024-11-27,0,100,False,/tElnmtQ6yz1PjN1kePNl8yMSb59.jpg,0,https://movies.disney.com/moana-2,tt13622970,en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",1138.996,/m0SbwFNCa9epW1X60deLqTHiP7x.jpg,The ocean is calling them back.,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]","[{'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}, {'id': 6125, 'logo_path': '/tzsMJBJZINu7GHzrpYzpReWhh66.png', 'name': 'Walt Disney Animation Studios', 'origin_country': 'US'}, {'id': 158526, 'logo_path': '/tzsMJBJZINu7GHzrpYzpReWhh66.png', 'name': 'Walt Disney Animation Studios', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,
519182,Despicable Me 4,7.1,2197,Released,2024-06-20,1000000000,94,False,/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg,100000000,https://www.despicable.me,tt7510222,en,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",898.498,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,Things just got a little more despicable.,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}]","[{'id': 33, 'logo_path': '/3wwjVpkZtnog6lSKzWDjvw2Yi00.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 6704, 'logo_path': '/fOG2oY4m1YuYTQh4bMqqZkmgOAI.png', 'name': 'Illumination', 'origin_country': 'US'}, {'id': 42, 'logo_path': None, 'name': 'Universal Pictures Corporation', 'origin_country': ''}, {'id': 243656, 'logo_path': None, 'name': 'My Production to prove', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,8.0
533535,Deadpool & Wolverine,7.69,5559,Released,2024-07-24,1336816114,128,False,/dvBCdCohwWbsP5qAaglOXagDMtk.jpg,200000000,https://www.marvel.com/movies/deadpool-and-wolverine,tt6263850,en,Deadpool & Wolverine,"A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",1269.077,/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,Come together.,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 420, 'logo_path': '/hUzeosd33nzE5MCNsZxCGEKTXaQ.png', 'name': 'Marvel Studios', 'origin_country': 'US'}, {'id': 104228, 'logo_path': '/hx0C1XcSxGgat8N62GpxoJGTkCk.png', 'name': 'Maximum Effort', 'origin_country': 'US'}, {'id': 2575, 'logo_path': '/9YJrHYlcfHtwtulkFMAies3aFEl.png', 'name': '21 Laps Entertainment', 'origin_country': 'US'}, {'id': 127928, 'logo_path': '/h0rjX5vjW5r8yEnUBStFarjcLT4.png', 'name': '20th Century Studios', 'origin_country': 'US'}, {'id': 176762, 'logo_path': None, 'name': 'Kevin Feige Productions', 'origin_country': 'US'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,
558449,Gladiator II,6.8,591,Released,2024-11-13,98901925,148,False,/euYIwmwkmz95mnXvufEmbL6ovhZ.jpg,310000000,https://www.gladiator.movie,tt9218128,en,Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",1847.506,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,Prepare to be entertained.,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]","[{'id': 4, 'logo_path': '/gz66EfNoYPqHTYI4q9UEN4CbHRc.png', 'name': 'Paramount Pictures', 'origin_country': 'US'}, {'id': 14440, 'logo_path': '/5QbaGiuxc91D6qf75JZGX6OKXoU.png', 'name': 'Red Wagon Entertainment', 'origin_country': 'US'}, {'id': 49325, 'logo_path': '/R05WCoCJcPWGSDaKaYgx3AeVuR.png', 'name': 'Parkes+MacDonald Image Nation', 'origin_country': 'US'}, {'id': 221347, 'logo_path': '/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png', 'name': 'Scott Free Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,8.0
402431,Wicked,7.9,120,Released,2024-11-20,0,161,False,/uVlUu174iiKhsUGqnOSy46eIIMU.jpg,145000000,https://www.wickedmovie.com,tt1262426,en,Wicked,"Elphaba, a young woman misunderstood because of her green skin, and Glinda, a popular aristocrat gilded by privilege, become unlikely friends in the fantastical Land of Oz. As the two women struggle with their opposing personalities, their friendship is tested as both begin to fulfill their destinies as Glinda the Good and the Wicked Witch of the West.",1343.402,/c5Tqxeo1UpBvnAc3csUm7j3hlQl.jpg,Everyone deserves the chance to fly.,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10749, 'name': 'Romance'}]","[{'id': 33, 'logo_path': '/3wwjVpkZtnog6lSKzWDjvw2Yi00.png', 'name': 'Universal Pictures', 'origin_country': 'US'}, {'id': 2527, 'logo_path': '/osO7TGmlRMistSQ5JZusPhbKUHk.png', 'name': 'Marc Platt Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,2.0
845781,Red One,6.626,155,Released,2024-10-31,89519694,124,False,/rOmUuQEZfPXglwFs5ELLLUDKodL.jpg,250000000,https://www.amazon.com/salp/redonemovie,tt14948432,en,Red One,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous bounty hunter in a globe-trotting, action-packed mission to save Christmas.",916.787,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,The mission to save Christmas is on.,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]","[{'id': 73669, 'logo_path': '/9JmgzVUNvUN5KhZjmiVHEzPtFCc.png', 'name': 'Seven Bucks Productions', 'origin_country': 'US'}, {'id': 92693, 'logo_path': '/rMKRo8kFoJKxZr0MFEVRoZ8b54E.png', 'name': 'The Detective Agency', 'origin_country': 'US'}, {'id': 25998, 'logo_path': None, 'name': 'Chris Morgan Productions', 'origin_country': 'US'}, {'id': 21, 'logo_path': '/usUnaYV6hQnlVAXP6r4HwrlLFPG.png', 'name': 'Metro-Goldwyn-Mayer', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,6.0
791042,Levels,5.6,18,Released,2024-11-01,0,92,False,/kwXycPsLA6SV3KUOagn343TtMOf.jpg,0,,tt10831486,en,Levels,"After witnessing his girlfriend's murder, a man risks everything - including reality itself - to discover the truth.",1437.109,/yq39ChrCDlqrurYuaC8WM0vC1cx.jpg,Question reality. Discover truth.,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]","[{'id': 37749, 'logo_path': '/zXGpuQ8DKs9pVUthHuHVrQggcZK.png', 'name': 'Farpoint Films', 'origin_country': 'CA'}, {'id': 11877, 'logo_path': None, 'name': 'Middle Child Films Inc.', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,
912649,Venom: The Last Dance,6.509,820,Released,2024-10-22,438325476,109,False,/3V4kLQg0kSqPLctI5ziYWabAZYF.jpg,120000000,https://venom.movie,tt16366836,en,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",3401.148,/aosm8NMQ3UyoBVpSxyimorCQykC.jpg,'Til death do they part.,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]","[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 84041, 'logo_path': '/nw4kyc29QRpNtFbdsBHkRSFavvt.png', 'name': 'Pascal Pictures', 'origin_country': 'US'}, {'id': 53462, 'logo_path': '/nx8B3Phlcse02w86RW4CJqzCnfL.png', 'name': 'Matt Tolmach Productions', 'origin_country': 'US'}, {'id': 91797, 'logo_path': None, 'name': 'Hutch Parker Entertainment', 'origin_country': 'US'}, {'id': 14439, 'logo_path': None, 'name': 'Arad Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,7.0
933260,The Substance,7.289,2151,Released,2024-09-07,46818041,141,False,/7h6TqPB3ESmjuVbxCxAeB1c9OB1.jpg,17500000,https://mubi.com/en/thesubstance,tt17526714,en,The Substance,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",1247.16,/lqoMzCcZYEFK729d6qzt349fB4o.jpg,"If you follow the instructions, what could go wrong?","[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 10163, 'logo_path': '/16KWBMmfPX0aJzDExDrPxSLj0Pg.png', 'name': 'Working Title Films', 'origin_country': 'GB'}, {'id': 233939, 'logo_path': None, 'name': 'Blacksmith', 'origin_country': 'FR'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,8.0
698687,Transformers One,8.1,753,Released,2024-09-11,124530200,104,False,/2h9yTYWTb909J28bzNTIE7dyNqP.jpg,75000000,https://www.transformersmovie.com,tt8864596,en,Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",1137.392,/qbkAqmmEIZfrCO8ZQAuIuVMlWoV.jpg,Witness the origin.,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}]","[{'id': 24955, 'logo_path': '/pUZAeCMZlLBBUItAl11Ip2XikdD.png', 'name': 'Paramount Animation', 'origin_country': 'US'}, {'id': 435, 'logo_path': '/AjzK0s2w1GtLfR4hqCjVSYi0Sr8.png', 'name': 'di Bonaventura Pictures', 'origin_country': 'US'}, {'id': 38831, 'logo_path': None, 'name': 'DeSanto/Murphy Productions', 'origin_country': 'US'}, {'id': 6734, 'logo_path': '/u55FhlG6vFNzSVKLcmnFFwLb2cc.png', 'name': 'Bay Films', 'origin_country': 'US'}, {'id': 114732, 'logo_path': '/tNCbisMxO5mX2X2bOQxHHQZVYnT.png', 'name': 'New Republic Pictures', 'origin_country': 'US'}, {'id': 207846, 'logo_path': '/1Qep9fdnqCjWFKYpwNvwy2zoRNQ.png', 'name': 'Hasbro Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",,,,False,7.0
